,Date,# Tweets
0,-61,70
1,-60,120
2,-59,49
3,-58,45
4,-57,919
5,-56,71
6,-55,33
7,-54,56
8,-53,38
9,-52,19
10,-51,49
11,-50,27
12,-49,48
13,-48,33
14,-47,49
15,-46,36
16,-45,34
17,-44,34
18,-43,50
19,-42,119
20,-41,54
21,-40,34
22,-39,244
23,-38,54
24,-37,45
25,-36,48
26,-35,34
27,-34,38
28,-33,178
29,-32,51
30,-31,62
31,-30,83
32,-29,71
33,-28,104
34,-27,104
35,-26,48
36,-25,157
37,-24,187
38,-23,1606
39,-22,156
40,-21,139
41,-20,63
42,-19,57
43,-18,84
44,-17,104
45,-16,311
46,-15,127
47,-14,74
48,-13,64
49,-12,95
50,-11,61
51,-10,170
52,-9,134
53,-8,110
54,-7,84
55,-6,83
56,-5,47
57,-4,1759
58,-3,701
59,-2,579
60,-1,880
61,0,19025
62,1,9432
63,2,2296
64,3,807
65,4,1490
66,5,581
67,6,373
68,7,212
69,8,340
70,9,176
71,10,124
72,11,84
73,12,68
74,13,101
75,14,56
76,15,62
77,16,82
78,17,115
79,18,1430
80,19,125
81,20,111
82,21,43
83,22,110
84,23,82
85,24,43
86,25,62
87,26,131
88,27,77
89,28,256
90,29,36
91,30,17
92,31,39
93,32,38
94,33,53
95,34,40
96,35,32
97,36,44
98,37,59
99,38,44
100,39,72
101,40,51
102,41,81
103,42,50
104,43,39
105,44,125
106,45,46
107,46,30
108,47,50
109,48,67
110,49,84
111,50,58
112,51,103
113,52,190
114,53,2208
115,54,268
116,55,82
117,56,85
118,57,59
119,58,47
120,59,54
121,60,77
122,61,47
